"Date","Price","Open","High","Low","Vol.","Change %"
"05/12/2023","284.970","286.000","286.750","281.380","0.08K","-3.47%"
"05/11/2023","295.200","289.875","298.625","285.000","0.40K","1.88%"
"05/10/2023","289.750","285.250","290.500","282.000","0.27K","2.24%"
"05/09/2023","283.400","283.875","285.390","280.680","0.04K","0.00%"
"05/08/2023","283.400","280.050","284.250","280.050","0.02K","0.00%"
"05/05/2023","283.400","283.850","284.175","279.880","0.04K","0.04%"
"05/04/2023","283.300","283.700","284.250","283.245","0.01K","0.00%"
"05/03/2023","283.300","283.700","284.000","283.370","0.02K","0.05%"
"05/02/2023","283.150","283.700","284.175","283.350","0.02K","-0.02%"
"05/01/2023","283.220","280.200","283.835","280.200","0.01K","-0.01%"
"04/28/2023","283.250","283.600","284.125","279.950","0.03K","0.00%"
"04/27/2023","283.250","283.875","284.125","280.350","0.02K","0.00%"
"04/26/2023","283.250","283.750","284.375","279.750","0.04K","0.08%"
"04/25/2023","283.030","283.455","283.595","283.390","0.00K","-0.04%"
"04/24/2023","283.130","279.930","283.580","279.930","0.01K","0.05%"
"04/21/2023","283.000","280.850","283.515","280.850","0.01K","0.00%"
"04/20/2023","283.000","283.250","284.250","279.750","0.02K","1.37%"
"04/19/2023","279.170","283.250","284.400","280.500","0.03K","-1.49%"
"04/18/2023","283.400","285.000","285.000","279.980","0.04K","-0.22%"
"04/17/2023","284.030","284.000","285.500","280.750","0.04K","0.01%"
"04/14/2023","284.000","284.000","284.875","280.500","0.03K","-0.18%"
"04/13/2023","284.500","285.750","288.505","281.000","0.05K","-1.04%"
"04/12/2023","287.500","288.750","289.500","282.750","0.35K","0.00%"
"04/11/2023","287.500","287.500","289.625","284.630","0.27K","0.52%"
"04/10/2023","286.000","284.375","287.750","282.250","0.03K","0.88%"
"04/07/2023","283.500","285.500","285.500","279.500","0.05K","-1.53%"
"04/06/2023","287.900","288.625","288.980","281.250","0.36K","0.23%"
"04/05/2023","287.250","288.375","289.155","283.380","0.62K","0.17%"
"04/04/2023","286.750","284.650","288.500","283.140","0.24K","0.79%"
"04/03/2023","284.500","280.250","285.265","280.250","0.03K","0.38%"
"03/31/2023","283.410","284.125","284.225","280.300","0.03K","0.07%"
"03/30/2023","283.200","283.500","284.125","279.950","0.03K","0.04%"
"03/29/2023","283.100","283.150","284.200","280.380","0.03K","0.04%"
"03/28/2023","283.000","283.000","284.550","280.000","0.02K","-0.11%"
"03/27/2023","283.300","279.630","284.250","279.630","0.03K","0.40%"
"03/24/2023","282.160","282.750","282.750","282.750","","-0.10%"
"03/23/2023","282.440","282.875","282.875","282.875","","-0.10%"
"03/22/2023","282.720","284.125","284.125","279.500","0.03K","0.59%"
"03/21/2023","281.060","284.500","284.500","279.630","0.02K","-0.06%"
"03/20/2023","281.220","278.250","284.625","278.250","0.05K","-0.10%"
"03/17/2023","281.500","282.875","283.375","278.130","0.02K","-0.53%"
"03/16/2023","283.000","282.875","283.375","278.750","0.02K","0.00%"
"03/15/2023","283.000","282.125","283.375","279.500","0.02K","2.30%"
"03/14/2023","276.650","282.125","282.450","278.630","0.02K","-1.79%"
"03/13/2023","281.700","277.250","282.475","277.250","0.02K","0.59%"
"03/10/2023","280.050","281.000","283.150","275.750","0.03K","0.92%"
"03/09/2023","277.500","279.125","284.000","275.750","0.05K","0.00%"
"03/08/2023","277.500","277.125","279.375","274.880","0.03K","0.36%"
"03/07/2023","276.500","276.000","278.250","272.500","0.02K","0.47%"
"03/06/2023","275.200","278.410","279.365","272.500","0.04K","-0.11%"
"03/03/2023","275.500","282.500","282.950","274.750","0.03K","-2.10%"
"03/02/2023","281.400","265.500","284.000","264.500","0.14K","7.82%"
"03/01/2023","261.000","262.000","267.140","260.735","0.03K","0.00%"
"02/28/2023","261.000","260.500","262.125","258.625","0.02K","0.58%"
"02/27/2023","259.500","260.125","260.600","257.750","0.01K","-0.08%"
"02/24/2023","259.700","260.750","262.875","257.950","0.02K","-1.07%"
"02/23/2023","262.500","261.375","262.875","258.725","0.02K","0.48%"
"02/22/2023","261.240","262.125","263.000","259.500","0.03K","-0.38%"
"02/21/2023","262.240","261.625","264.250","260.375","0.03K","0.28%"
"02/20/2023","261.500","261.500","262.875","259.815","0.03K","-0.28%"
"02/17/2023","262.240","263.500","266.150","260.500","0.03K","-1.12%"
"02/16/2023","265.220","266.150","266.980","262.250","0.03K","-0.20%"
"02/15/2023","265.750","267.250","267.500","262.750","0.04K","-0.47%"
"02/14/2023","267.000","269.000","269.725","264.500","0.03K","-0.84%"
"02/13/2023","269.250","267.380","270.250","267.000","0.02K","0.00%"
"02/10/2023","269.250","269.000","271.500","266.500","0.03K","0.00%"
"02/09/2023","269.250","274.250","274.500","269.500","0.01K","-1.75%"
"02/08/2023","274.050","272.500","276.400","271.500","0.02K","-0.67%"
"02/07/2023","275.900","274.500","276.500","274.500","0.01K","0.40%"
"02/06/2023","274.800","276.500","276.500","270.500","0.02K","0.12%"
"02/03/2023","274.460","270.250","275.500","270.250","0.01K","1.46%"
"02/02/2023","270.500","268.750","270.950","268.250","0.02K","1.50%"
"02/01/2023","266.500","265.250","268.780","265.250","0.01K","-0.37%"
"01/31/2023","267.500","270.250","270.500","266.750","0.02K","1.87%"
"01/30/2023","262.600","260.250","263.050","259.995","0.01K","-0.17%"
"01/27/2023","263.050","250.500","263.050","250.390","0.00K","5.01%"
"01/26/2023","250.500","231.775","250.500","231.125","0.41K","8.18%"
"01/25/2023","231.550","231.500","231.785","230.750","1.13K","0.24%"
"01/24/2023","231.000","231.375","231.520","230.150","1.08K","0.11%"
"01/23/2023","230.750","229.875","231.385","229.150","0.75K","0.44%"
"01/20/2023","229.750","229.925","230.175","229.500","1.25K","-0.04%"
"01/19/2023","229.850","229.625","229.935","228.875","0.70K","0.26%"
"01/18/2023","229.250","229.500","229.635","228.750","0.53K","0.11%"
"01/17/2023","229.000","228.875","229.510","228.525","0.55K","0.11%"
"01/16/2023","228.750","228.800","228.925","228.425","0.52K","0.07%"
"01/13/2023","228.600","228.665","228.925","228.000","0.48K","0.12%"
"01/12/2023","228.330","228.540","228.690","227.875","0.85K","0.11%"
"01/11/2023","228.080","228.540","228.565","227.875","0.64K","0.00%"
"01/10/2023","228.080","228.285","228.540","227.475","1.07K","0.22%"
"01/09/2023","227.570","228.225","228.295","227.350","0.69K","0.05%"
"01/06/2023","227.450","228.125","228.235","227.000","0.53K","0.09%"
"01/05/2023","227.250","226.950","228.125","226.875","0.48K","0.42%"
"01/04/2023","226.290","226.900","227.220","226.645","0.01K","-0.09%"
"01/03/2023","226.500","226.700","227.150","226.450","0.42K","0.04%"
"01/02/2023","226.400","226.700","226.700","226.700","","0.00%"
"12/30/2022","226.400","226.700","226.865","226.250","0.47K","0.00%"
"12/29/2022","226.400","226.750","226.760","225.750","0.54K","-0.04%"
"12/28/2022","226.500","226.625","226.825","225.875","0.53K","0.11%"
"12/27/2022","226.250","226.375","226.635","225.750","0.51K","0.22%"
"12/26/2022","225.750","226.375","226.375","225.475","0.36K","0.00%"
"12/23/2022","225.750","226.250","226.385","225.375","0.54K","0.11%"
"12/22/2022","225.500","226.250","226.260","225.250","0.50K","0.00%"
"12/21/2022","225.500","226.125","226.260","225.000","0.56K","0.11%"
"12/20/2022","225.250","224.900","226.175","224.725","0.29K","0.33%"
"12/19/2022","224.500","224.875","225.250","224.675","0.01K","0.00%"
"12/16/2022","224.500","224.875","225.225","224.500","0.36K","-0.11%"
"12/15/2022","224.750","224.875","225.150","224.500","0.88K","0.00%"
"12/14/2022","224.750","224.875","225.125","224.625","0.73K","0.00%"
"12/13/2022","224.750","224.875","225.125","224.450","0.79K","0.00%"
"12/12/2022","224.750","224.000","224.885","224.000","0.52K","0.11%"
"12/09/2022","224.500","224.750","224.800","223.375","1.04K","0.00%"
"12/08/2022","224.500","224.625","224.760","223.625","1.09K","0.11%"
"12/07/2022","224.250","224.625","224.635","223.625","0.79K","0.00%"
"12/06/2022","224.250","224.500","224.645","223.625","1.09K","0.11%"
"12/05/2022","224.000","224.325","224.520","223.500","0.76K","0.16%"
"12/02/2022","223.650","224.625","224.700","223.375","1.01K","-0.27%"
"12/01/2022","224.250","224.750","224.825","223.350","0.97K","-0.11%"
"11/30/2022","224.500","224.625","224.760","223.750","0.96K","0.11%"
"11/29/2022","224.250","224.500","224.635","223.750","1.03K","0.11%"
"11/28/2022","224.000","224.625","224.635","223.500","0.65K","-0.11%"
"11/25/2022","224.250","224.450","224.635","223.500","1.10K","0.16%"
"11/24/2022","223.900","224.400","224.450","223.750","1.06K","0.04%"
"11/23/2022","223.800","224.375","224.410","223.250","1.10K","0.02%"
"11/22/2022","223.750","224.500","224.525","223.200","0.97K","-0.11%"
"11/21/2022","224.000","224.250","224.525","222.375","0.63K","0.22%"
"11/18/2022","223.500","222.625","224.260","222.375","0.72K","0.68%"
"11/17/2022","222.000","222.250","222.725","221.850","0.02K","-0.02%"
"11/16/2022","222.050","221.500","222.475","221.500","0.01K","0.27%"
"11/15/2022","221.450","221.550","222.150","221.325","0.02K","0.20%"
"11/14/2022","221.000","221.625","221.825","221.325","0.02K","-0.05%"
